Sample ID,Percent missingness (%),Probability of membership  to cluster 1,Probabiltiy of membership to cluster 2,Probability of membership to cluster 3,Probability of membership to cluster 4,Assignment to cluster with highest probability of membership,Assignment to cluster for samples with over 80% membership to a cluster
NU_L39448,0,0,1,0,0,2,2
NU_L39453,0,0.001,0.998,0,0,2,2
NU_L39458,0,1,0,0,0,1,1
NU_L39459,2,1,0,0,0,1,1
NU_L39467B,0,1,0,0,0,1,1
NU_L39468,0,1,0,0,0,1,1
NU_L39469,0,1,0,0,0,1,1
NU_L39505,0,1,0,0,0,1,1
NU_L39532,12,0,0.999,0,0.001,2,2
NU_L39616,0,0,0,0,1,4,4
NU_L39619,0,0,0,0,1,4,4
NU_L39703,1,1,0,0,0,1,1
NU_L39770,0,0,1,0,0,2,2
NU_L39771,0,0,1,0,0,2,2
NU_L39772,2,0,0.701,0,0.299,2,NA
NU_L39773,1,0,0.756,0,0.244,2,NA
NU_L39774,1,0,1,0,0,2,2
NU_L39775,3,0,1,0,0,2,2
NU_L39776,0,0,1,0,0,2,2
NU_L35206,6,0,1,0,0,2,2
NU_L35209,0,0,1,0,0,2,2
NU_L35211,4,0,1,0,0,2,2
NU_L35214,0,0,1,0,0,2,2
NU_L35216,0,0,0.954,0.046,0,2,2
NU_L35221,0,0,0.997,0,0.003,2,2
NU_L35226,0,1,0,0,0,1,1
NU_L35316,1,0,0,1,0,3,3
NU_L35362,0,0,0.995,0,0.005,2,2
NU_L35363,0,0,0.997,0,0.003,2,2
NU_L35365,15,0,0.002,0,0.998,4,4
NU_L35366,5,0,0.966,0.005,0.029,2,2
NU_L35367,0,0,0.902,0,0.098,2,2
NU_L35368,0,0,1,0,0,2,2
NU_L35369,0,0,0.069,0.805,0.126,3,3
NU_L35370,0,0,1,0,0,2,2
NU_L35376,7,1,0,0,0,1,1
NU_L35379,1,1,0,0,0,1,1
NU_L35400,19,0.9,0.096,0,0.004,1,1
NU_L35401,0,0.455,0.545,0,0,2,NA
NU_L35406,0,0,1,0,0,2,2
NU_L35412A,0,1,0,0,0,1,1
NU_L35413A,0,1,0,0,0,1,1
NU_L35439,0,1,0,0,0,1,1
NU_L39108,0,1,0,0,0,1,1
NU_L39110,11,0,1,0,0,2,2
NU_L39111,0,1,0,0,0,1,1
NU_L39116,0,1,0,0,0,1,1
NU_L39117,27,1,0,0,0,1,1
NU_L39118A,0,1,0,0,0,1,1
NU_L39121,0,1,0,0,0,1,1
NU_L39153,2,0,1,0,0,2,2
NU_L39154,2,0,0.89,0.11,0,2,2
NU_L39155,1,0,1,0,0,2,2
NU_L39156,0,0,0.999,0,0.001,2,2
NU_L39157,0,0,1,0,0,2,2
NU_L39160,0,1,0,0,0,1,1
NU_L39162,0,1,0,0,0,1,1
NU_L39163,0,1,0,0,0,1,1
NU_L39262,24,0,0.976,0.02,0.004,2,2
NU_L39263,0,0,1,0,0,2,2
NU_L39265,8,0,0.939,0,0.06,2,2
NU_L39269B,0,0,0.001,0,0.999,4,4
NU_L39271,0,0,0.999,0,0.001,2,2
NU_L39273,4,0,0.998,0,0.002,2,2
NU_L39275,8,0,1,0,0,2,2
NU_L39333,0,0,1,0,0,2,2
NU_L39396,2,0,0.999,0,0.001,2,2
NU_L39397,0,0,1,0,0,2,2
NU_L39401,0,0,1,0,0,2,2
NU_L39403,0,0,1,0,0,2,2
NU_L39449,0,0.999,0.001,0,0,1,1
NU_L39450,0,1,0,0,0,1,1
NU_L39454,0,0.99,0.01,0,0,1,1
NU_L39456,0,0.004,0.996,0,0,2,2
NU_L39472,0,1,0,0,0,1,1
NU_L39475,25,0,1,0,0,2,2
NU_L39478,0,0,0.999,0.001,0,2,2
NT_100344,5,0,0,1,0,3,3
NT_100544,0,0,0,1,0,3,3
NT_100608,5,0,0,1,0,3,3
NT_100645,0,0,0,1,0,3,3
NT_100666,0,0,0,1,0,3,3
NU_L26306,0,0,1,0,0,2,2
NU_L27339,0,0,0.419,0,0.581,4,NA
NU_L35470,0,0,1,0,0,2,2
NU_L39266,0,0.001,0.999,0,0,2,2
NU_L39399A,0,0,0,0,1,4,4
NU_L39477,0,0,0,0,1,4,4
NU_L39520,0,1,0,0,0,1,1
NU_L39557,0,1,0,0,0,1,1
NU_L39558,0,1,0,0,0,1,1
NU_L39561,18,1,0,0,0,1,1
NU_L39632,0,0,1,0,0,2,2
NU_L39648,0,1,0,0,0,1,1
NU_L39678,0,0,1,0,0,2,2
NU_L39685,1,0,1,0,0,2,2
NU_L24763,0,0,0.687,0.193,0.12,2,NA
NU_L25958,19,0,0.998,0,0.002,2,2
NU_L25960A,0,0,1,0,0,2,2
NU_L25962,0,0,1,0,0,2,2
NU_L26052,0,0,0.977,0.023,0,2,2
NU_L26460,2,0,0.001,0,0.999,4,4
NU_L27600,15,0,1,0,0,2,2
NU_L28325,0,0,1,0,0,2,2
NU_L28568,0,0,1,0,0,2,2
NU_L28941,7,1,0,0,0,1,1
NU_L29464,24,0,1,0,0,2,2
NU_L29465,0,0,1,0,0,2,2
NU_L29480,0,0,1,0,0,2,2
NU_L29576,0,0,0.992,0,0.008,2,2
NT_100177,0,0,0.502,0.032,0.465,2,NA
NT_100196,0,0,0,1,0,3,3
NU_L25528,2,0,0.992,0,0.008,2,2
NU_L25583,0,0,1,0,0,2,2
NU_L25947,13,0,1,0,0,2,2
NU_L26285,6,0,1,0,0,2,2
NU_L26657,0,0,1,0,0,2,2
NU_L27005,0,0,0.982,0,0.018,2,2
NU_L27922,0,0,1,0,0,2,2
NU_L28559,0,0,1,0,0,2,2
NU_L28605,0,0,1,0,0,2,2
NU_L29249,0,0,1,0,0,2,2
NU_L39051,0,0,0,0,1,4,4
NU_L39085,1,0,0.38,0,0.62,4,NA
NU_L24594,0,0,1,0,0,2,2
NU_L26017,0,0,0.999,0,0.001,2,2
NU_L26207,0,0,1,0,0,2,2
NU_L26461,2,0.997,0.003,0,0,1,1
NU_L28550,0,0,1,0,0,2,2
NU_L28590,0,0,1,0,0,2,2
NU_L28670,0,0,1,0,0,2,2
NU_L28952,0,1,0,0,0,1,1
NU_L28953,0,1,0,0,0,1,1
NU_L28954,0,1,0,0,0,1,1
NU_L29458,3,0,0.992,0,0.008,2,2
NU_L35109,0,0,1,0,0,2,2
NU_L35468,0,0,1,0,0,2,2
NU_L35471,0,0,1,0,0,2,2
NU_L39200,0,0,1,0,0,2,2
NU_L39207,0,0,1,0,0,2,2
NU_L39551,0,0,1,0,0,2,2
NU_L39600,0,0,0.987,0,0.013,2,2
GH06_18,6,0,1,0,0,2,2
GH16_18,22,0.021,0.619,0,0.36,2,NA
NT_100333_B,2,0,0,1,0,3,3
NT_100672_B,0,0,0,1,0,3,3
NT_100678_B,0,0,0,1,0,3,3
NT_100686_B,0,0,0,1,0,3,3
NT_100690,0,0,0,1,0,3,3
NT_100692_B,0,0,0,1,0,3,3
NT_100696,18,0,0,1,0,3,3
NT_100697_C,0,0,0,1,0,3,3
NT_100703_C,0,0,0,1,0,3,3
NT_100707,3,0,0,1,0,3,3
NT_100708,3,0,0,1,0,3,3
NT_100709_B,0,0,0,1,0,3,3
NT_100710_B,0,0,0,1,0,3,3
NT_100712,1,0,0,1,0,3,3
NT_100720_B,3,0,0,1,0,3,3
NT_100729,3,0,0,1,0,3,3
NT_100730,0,0,0,1,0,3,3
NT_100732,0,0,0,1,0,3,3
NT_100735,0,0,0,1,0,3,3
NT_200005,16,0,0,1,0,3,3
NT_200015,17,0,0,1,0,3,3
NT_L20003,0,0,0,1,0,3,3
NT_L20035,1,0,0,1,0,3,3
NT_L20037,5,0,0,1,0,3,3
NT_L20041,0,0,0,1,0,3,3
NU_40629,4,1,0,0,0,1,1
NU_40875,1,1,0,0,0,1,1
NU_40877,0,1,0,0,0,1,1
NU_40879,0,1,0,0,0,1,1
NU_40880,0,1,0,0,0,1,1
NU_L23193,3,0,1,0,0,2,2
NU_L23313,2,0,1,0,0,2,2
NU_L24761,1,0,1,0,0,2,2
NU_L25376,0,0,0.997,0,0.003,2,2
NU_L25438,0,0,1,0,0,2,2
NU_L25482,0,1,0,0,0,1,1
NU_L25532,3,0,1,0,0,2,2
NU_L25831,3,0,0.992,0.008,0,2,2
NU_L26005,4,0,1,0,0,2,2
NU_L26189,3,1,0,0,0,1,1
NU_L26249,1,0,1,0,0,2,2
NU_L26338,2,1,0,0,0,1,1
NU_L26439,3,1,0,0,0,1,1
NU_L26883,1,0,1,0,0,2,2
NU_L27882_B,2,0,1,0,0,2,2
NU_L28115,0,0,1,0,0,2,2
NU_L28282,2,1,0,0,0,1,1
NU_L28288,1,0,1,0,0,2,2
NU_L28289,0,0.021,0.979,0,0,2,2
NU_L28370,0,1,0,0,0,1,1
NU_L28606,2,0,0.931,0.006,0.063,2,2
NU_L28796,2,1,0,0,0,1,1
NU_L28883,0,0,1,0,0,2,2
NU_L29327,3,1,0,0,0,1,1
NU_L29444,2,0,1,0,0,2,2
NU_L35120,3,0,0,0,1,4,4
NU_L35383,1,0.982,0.018,0,0,1,1
NU_L35645,1,0,0.494,0,0.506,4,NA
NU_L35663,3,0,1,0,0,2,2
NU_L39038,4,0,1,0,0,2,2
NU_L39120_B,4,0.001,0.921,0.078,0,2,2
NU_L39242_B,1,0,0,0,1,4,4
NU_L39474,2,0,0.089,0,0.911,4,4
NU_L39529,2,0,0.995,0.004,0.001,2,2
NU_L40025,1,0,0.999,0,0.001,2,2
NU_L40059,0,0,1,0,0,2,2
NU_L40766,3,0,1,0,0,2,2
NU_L40806,1,1,0,0,0,1,1
NU_L40873,1,0,0.766,0,0.234,2,NA
NU_L40874,1,1,0,0,0,1,1
NU_L40878,1,1,0,0,0,1,1
NU_L40881,1,1,0,0,0,1,1
NU_L40889,3,1,0,0,0,1,1
NU_L40891,2,1,0,0,0,1,1
NU_L40893,2,1,0,0,0,1,1
NU_L40894,1,1,0,0,0,1,1
NU_L40895,0,1,0,0,0,1,1
NU_L40896,2,1,0,0,0,1,1
NU_L40897,1,1,0,0,0,1,1
NU_L40898,3,1,0,0,0,1,1
NU_L40899,2,1,0,0,0,1,1
NU_L40900,2,1,0,0,0,1,1
NU_L40901,0,1,0,0,0,1,1
NU_L40902,1,1,0,0,0,1,1
NU_L41064,3,1,0,0,0,1,1
NU_L41065,4,1,0,0,0,1,1
NU_L41066,2,1,0,0,0,1,1
NU_L41067,14,1,0,0,0,1,1
NU_L41069,5,1,0,0,0,1,1
NU_L41070,2,1,0,0,0,1,1
NU_L41072,1,1,0,0,0,1,1
NU_L41073,0,1,0,0,0,1,1
NU_L41074,1,1,0,0,0,1,1
NU_L41076,4,1,0,0,0,1,1
NU_L41077,4,1,0,0,0,1,1
NU_L41091,1,0,1,0,0,2,2
NU_L41103,3,1,0,0,0,1,1
NU_L41104,0,0,0.378,0,0.622,4,NA
NU_L41111,1,0,1,0,0,2,2
NU_L41115,0,0,1,0,0,2,2
NU_L41119,8,0,1,0,0,2,2
NU_L41120,2,0,1,0,0,2,2
NU_L41121,2,0,1,0,0,2,2
NU_L41122,1,0,1,0,0,2,2
NU_L41124,3,1,0,0,0,1,1
NU_L41125,1,1,0,0,0,1,1
NU_L41126,0,1,0,0,0,1,1
NU_L41128,1,1,0,0,0,1,1
NU_L41129,6,1,0,0,0,1,1
NU_L41146,4,1,0,0,0,1,1
NU_L41147,2,1,0,0,0,1,1
NU_L41148,2,1,0,0,0,1,1
NU_L41150,3,1,0,0,0,1,1
NU_L41152,3,1,0,0,0,1,1
NU_L41154,2,1,0,0,0,1,1
NU_L41184,4,1,0,0,0,1,1
NU_L41185,2,1,0,0,0,1,1
NU_L41186,1,1,0,0,0,1,1
NU_L41187,2,1,0,0,0,1,1
NU_L41188,4,1,0,0,0,1,1
NU_L41189,4,1,0,0,0,1,1
NU_L41190,1,1,0,0,0,1,1
NU_L41191,4,1,0,0,0,1,1
NU_L41192,6,1,0,0,0,1,1
NU_L41193,3,1,0,0,0,1,1
NU_L41194,2,1,0,0,0,1,1
NU_L41195,2,1,0,0,0,1,1
NU_L41196_B,0,1,0,0,0,1,1
NU_L41197_B,0,1,0,0,0,1,1
NU_L41198,0,1,0,0,0,1,1
NU_L41199,4,1,0,0,0,1,1
NU_L41200_B,0,1,0,0,0,1,1
NU_L41201_B,0,1,0,0,0,1,1
NU_L41202_B,0,1,0,0,0,1,1
NU_L41203_B,1,1,0,0,0,1,1
NU_L41204_B,5,1,0,0,0,1,1
NU_L41205_B,0,1,0,0,0,1,1
NU_L41206_B,0,1,0,0,0,1,1
NU_L41208_B,0,0,1,0,0,2,2
NU_L41269,1,0,1,0,0,2,2
NU_L41281,2,0,0.999,0.001,0,2,2
NU_L41283,2,0,0.999,0,0.001,2,2
NU_L41308,3,1,0,0,0,1,1
NU_L41356,3,0,1,0,0,2,2
NU_L41358_B,0,0,1,0,0,2,2
NU_L41410,0,1,0,0,0,1,1
NU_L41411,8,0,0.2,0.101,0.699,4,NA
NU_L41416,3,1,0,0,0,1,1
NU_X13485,4,0,0,0,1,4,4
NU_X13489,1,0.987,0.013,0,0,1,1
NU_X13615,2,0,0.98,0,0.02,2,2
NU_X13773,1,0,1,0,0,2,2
NU_X14351,3,0,1,0,0,2,2
NU_X15130,2,0,0,0,1,4,4
NU_X15143,4,0,0.964,0,0.036,2,2
NU_X15562,2,0,1,0,0,2,2
NU_X30006,4,0,1,0,0,2,2
NU_X30007_B,2,0,1,0,0,2,2
NU_X30008,2,0,1,0,0,2,2
NU_X30013,2,0,1,0,0,2,2
NU_X30015,2,0,1,0,0,2,2
NU_X30018,1,0,1,0,0,2,2
NU_X30020,2,0.908,0.092,0,0,1,1
NU_X30033,5,0,1,0,0,2,2
NU_X30189,1,0,0,0,1,4,4
NU_X30190,1,0,0,0,1,4,4
NU_X30191,2,0,0,0,1,4,4
NU_X30192,4,0,0,0,1,4,4
NU_X30194,1,0,0,0,1,4,4
NU_X30197,3,0,0,0,1,4,4
NU_X30204,2,0,1,0,0,2,2
NU_X30205,4,0,1,0,0,2,2
NU_X30206,2,0,1,0,0,2,2
NU_X30207,2,0,1,0,0,2,2
NU_X30234,2,0,0.181,0,0.819,4,4
NU_X30237,4,0,1,0,0,2,2
NU_X30240,1,0,1,0,0,2,2
NU_X30242,2,0,1,0,0,2,2
NU_X30243,2,0,1,0,0,2,2
NU_X30244,3,0,1,0,0,2,2
NU_X30264,2,0,0.39,0,0.61,4,NA
NU_X30273,2,0,0.001,0,0.999,4,4
NU_X30274,5,0,0.185,0.064,0.751,4,NA
NU_X30275,5,0,1,0,0,2,2
NU_X30277,0,0,1,0,0,2,2
NU_X30278,7,0,0.095,0,0.905,4,4
NU_X30287,3,0,1,0,0,2,2
NU_X30292,3,0,1,0,0,2,2
NU_X30293,5,0,1,0,0,2,2
NU_X30294,4,0,1,0,0,2,2
NU_X30296,4,0,0.92,0,0.08,2,2
NU_X30299,2,0,0.999,0.001,0,2,2
NU_X30300,14,0,1,0,0,2,2
NU_X30301,5,0,0.998,0.001,0.002,2,2
NU_X30302,11,0,1,0,0,2,2
NU_X30305,5,0,1,0,0,2,2
NU_X30311,4,0,1,0,0,2,2
NU_X30312,11,0,0.978,0.022,0,2,2
NU_X30313,8,0,1,0,0,2,2
NU_X30316,0,0,1,0,0,2,2
NU_X30317,3,0,1,0,0,2,2
NU_X30320,4,0.002,0.998,0,0,2,2
NU_X30324,3,0,1,0,0,2,2
NU_X30326,2,0.108,0.892,0,0,2,2
NU_X30327,2,0,1,0,0,2,2
NU_X30329,3,0,1,0,0,2,2
NU_X30332,20,0,1,0,0,2,2
NU_X30333,16,0,1,0,0,2,2
NU_X30335,1,0,1,0,0,2,2
NU_X30340,1,0,1,0,0,2,2
NU_X30345,1,0,0,0,1,4,4
NU_X30358,2,0,0.001,0,0.999,4,4
NU_X30367,2,1,0,0,0,1,1
NU_X30368,2,1,0,0,0,1,1
NU_X30369,3,0.028,0.972,0,0,2,2
NU_X30371,1,0,1,0,0,2,2
NU_X30374,2,0,1,0,0,2,2
NU_X30405,4,0,0,0,1,4,4
NU_X30406,6,0,0.006,0,0.994,4,4
NU_X30410,2,0,0,0,1,4,4
NU_X30412,1,0,0.001,0,0.999,4,4
NU_X30417,3,0,0,0,1,4,4
NU_X30426,2,0,0,0,1,4,4
NU_X30428,1,0,0,0,1,4,4
NU_X30430,4,0,0,0,1,4,4
NU_X30431,1,0,0,0,1,4,4
NU_X30433,3,0,0,0,1,4,4
NU_X30434,2,0,0,0,1,4,4
NU_X30436,4,0,0,0,1,4,4
NU_X30437,6,0,0,0,1,4,4
NU_X30439,3,0,0.286,0,0.714,4,NA
NU_X30447,2,0,0,0,1,4,4
NU_X30503,1,0,1,0,0,2,2
NU_X30538,14,1,0,0,0,1,1
NU_X30650,0,0,0.98,0,0.02,2,2
NU_X30661,2,0,1,0,0,2,2
NU_X30699,0,0,1,0,0,2,2
NU_X307602,1,0,0.584,0,0.416,2,NA
NU_X30762,2,0,0.464,0,0.536,4,NA
NU_X30763,2,0,0.999,0,0.001,2,2
NU_X30772,0,0,0.998,0,0.002,2,2
NU_X30799,1,0,0.015,0,0.985,4,4
